date,weekno,employee_id,name,status
01-Apr-22,W 14,Atq -396,JOEL CRUZ,Work From Home
01-Apr-22,W 14,Atq -443,LYRIC BARTLETT,Work From Home
01-Apr-22,W 14,Atq -430,MAXIMUS MCKENZIE,Work From Home
01-Apr-22,W 14,Atq -382,GUSTAVO RITTER,Work From Home
01-Apr-22,W 14,Atq -452,ayanna atkins,Work From Home
01-Apr-22,W 14,Atq -485,gregory carr,Work From Home
01-Apr-22,W 14,Atq -405,chris frye,Work From Home
01-Apr-22,W 14,Atq -458,JESSIE CARRILLO,Weekly Off
01-Apr-22,W 14,Atq -400,CHAD MACIAS,Weekly Off
02-Apr-22,W 14,Atq -437,DALLAS WEEKS,Weekly Off
02-Apr-22,W 14,Atq -372,miley combs,Weekly Off
02-Apr-22,W 14,Atq -369,GRETA HORTON,Weekly Off
02-Apr-22,W 14,Atq -374,KALEY FITZPATRICK,Weekly Off
02-Apr-22,W 14,Atq -470,JOVANI POPE,Weekly Off
02-Apr-22,W 14,Atq -455,CAYLEE MEADOWS,Weekly Off
02-Apr-22,W 14,Atq -385,FINNEGAN GILBERT,Weekly Off
02-Apr-22,W 14,Atq -387,KONNER HENSON,Weekly Off
02-Apr-22,W 14,Atq -430,maximus mckenzie,Weekly Off
02-Apr-22,W 14,Atq -443,ANDREW CUMMINGS,Weekly Off
02-Apr-22,W 14,Atq -461,josh sharp,Weekly Off
02-Apr-22,W 14,Atq -453,nehemiah diaz,Weekly Off
02-Apr-22,W 14,Atq -376,dominique benjamin,Weekly Off
02-Apr-22,W 14,Atq -418,hillary kirk,Weekly Off
02-Apr-22,W 14,Atq -373,ISIAH SMALL,Weekly Off
02-Apr-22,W 14,Atq -382@,gustavo ritter,Weekly Off
02-Apr-22,W 14,Atq -408,NICK OROZCO,Weekly Off
02-Apr-22,W 14,Atq -418,marquis wyatt,Weekly Off
02-Apr-22,W 14,Atq -414,titus andersen,Weekly Off
02-Apr-22,W 14,Atq -403,WILL MAHONEY,Weekly Off
02-Apr-22,W 14,Atq -393,EMMA FREEMAN,Weekly Off
02-Apr-22,W 14,Atq -367,BRILEY ORR,Weekly Off
02-Apr-22,W 14,Atq -452,ayanna atkins,Weekly Off
02-Apr-22,W 14,Atq -485,GREGORY CARR,Weekly Off
02-Apr-22,W 14,Atq -421,rylee mullins,Weekly Off
02-Apr-22,W 14,Atq -432,ryann guerrero,Weekly Off
02-Apr-22,W 14,Atq -484,demarcus gordon,Weekly Off
02-Apr-22,W 14,Atq -428,CIARA ALLISON,Weekly Off
02-Apr-22,W 14,Atq -467,ESPERANZA IRWIN,Weekly Off
02-Apr-22,W 14,Atq -396,karma reeves,Weekly Off
02-Apr-22,W 14,Atq -472,CRISTOFER BERNARD,Weekly Off
02-Apr-22,W 14,Atq -412,TUCKER AUSTIN,Weekly Off
02-Apr-22,W 14,Atq -398,SALVATORE HENDRIX,Weekly Off
02-Apr-22,W 14,Atq -484,adyson moyer,Weekly Off
02-Apr-22,W 14,Atq -385,JASE INGRAM,Weekly Off
02-Apr-22,W 14,Atq -456,ADRIEL PACE,Weekly Off
02-Apr-22,W 14,Atq -375,KENLEY MARSH,Weekly Off
02-Apr-22,W 14,Atq -475,LONDON KIM,Weekly Off
02-Apr-22,W 14,Atq -405,chris frye,Weekly Off
02-Apr-22,W 14,Atq -426,roman colon,Weekly Off
02-Apr-22,W 14,Atq -331,jonah hamilton,Weekly Off
02-Apr-22,W 14,Atq -435,DEAN MCLAUGHLIN,Weekly Off
02-Apr-22,W 14,Atq -348,weston horton,Weekly Off
02-Apr-22,W 14,Atq -468,XIOMARA RUIZ,Weekly Off
02-Apr-22,W 14,Atq -368,MACIE CALLAHAN,Weekly Off
02-Apr-22,W 14,Atq -475,REY NOVAK,Weekly Off
02-Apr-22,W 14,Atq -375,hailee fitzpatrick,Weekly Off
02-Apr-22,W 14,Atq -433,JAYCE FUENTES,Weekly Off
02-Apr-22,W 14,Atq -370,ella roth,Weekly Off
02-Apr-22,W 14,Atq -423,rodrigo price,Weekly Off
02-Apr-22,W 14,Atq -438,miles fields,Weekly Off
02-Apr-22,W 14,Atq -349,TRYSTAN ORTEGA,Weekly Off
02-Apr-22,W 14,Atq -459,IRIS WOODARD,Weekly Off
02-Apr-22,W 14,Atq -396,joel cruz,Weekly Off
02-Apr-22,W 14,Atq -393,JANELLE RAYMOND,Weekly Off
02-Apr-22,W 14,Atq -419,faith hamilton,Weekly Off
02-Apr-22,W 14,Atq -446,april ayers,Weekly Off
02-Apr-22,W 14,Atq -334,boston morse,Weekly Off
02-Apr-22,W 14,Atq -343,myla klein,Weekly Off
02-Apr-22,W 14,Atq -335,madelynn gray,Weekly Off
02-Apr-22,W 14,Atq -440,MCKAYLA PARKER,Weekly Off
02-Apr-22,W 14,Atq -405,SOFIA SOLIS,Weekly Off
02-Apr-22,W 14,Atq -450,miya hampton,Weekly Off
02-Apr-22,W 14,Atq -467,cason david,Weekly Off
02-Apr-22,W 14,Atq -419,kaylah schultz,Weekly Off
02-Apr-22,W 14,Atq -443,LYRIC BARTLETT,Weekly Off
02-Apr-22,W 14,Atq -335,TORI SHANNON,Weekly Off
02-Apr-22,W 14,Atq -397,grace stone,Weekly Off
02-Apr-22,W 14,Atq -404,ana little,Weekly Off
02-Apr-22,W 14,Atq -436,PHOENIX BRADY,Weekly Off
02-Apr-22,W 14,Atq -441,LOKI LAL,Weekly Off
02-Apr-22,W 14,Atq -366,peter pandey,Weekly Off
02-Apr-22,W 14,Atq -438,MEKHI SINGLETON,Weekly Off
02-Apr-22,W 14,Atq -398,bo cordova,Weekly Off
02-Apr-22,W 14,Atq -411,NEVAEH WALLER,Weekly Off
02-Apr-22,W 14,Atq -462,JARVIS SINGH,Weekly Off
02-Apr-22,W 14,Atq -406,thanos thakur,Weekly Off
02-Apr-22,W 15,Atq -472,CRISTOFER BERNARD,Weekly Off
02-Apr-22,W 15,Atq -412,tucker austin,Weekly Off
02-Apr-22,W 15,Atq -398,SALVATORE HENDRIX,Weekly Off
02-Apr-22,W 15,Atq -484,ADYSON MOYER,Weekly Off
03-Apr-22,W 15,Atq -385,JASE INGRAM,Weekly Off
03-Apr-22,W 15,Atq -456,adriel pace,Weekly Off
03-Apr-22,W 15,Atq -375,kenley marsh,Weekly Off
03-Apr-22,W 15,Atq -475,london kim,Weekly Off
03-Apr-22,W 15,Atq -405,chris frye,Weekly Off
03-Apr-22,W 15,Atq -426,roman colon,Weekly Off
03-Apr-22,W 15,Atq -331@,jonah hamilton,Weekly Off
03-Apr-22,W 15,Atq -435,dean mclaughlin,Weekly Off
03-Apr-22,W 15,Atq -348,weston horton,Weekly Off
03-Apr-22,W 15,Atq -468,xiomara ruiz,Weekly Off
03-Apr-22,W 15,Atq -368,macie callahan,Weekly Off
03-Apr-22,W 15,Atq -475,rey novak,Weekly Off
03-Apr-22,W 15,Atq -375,HAILEE FITZPATRICK,Weekly Off
03-Apr-22,W 15,Atq -433,JAYCE FUENTES,Weekly Off
03-Apr-22,W 15,Atq -370,ELLA ROTH,Weekly Off
03-Apr-22,W 15,Atq -423,RODRIGO PRICE,Weekly Off
03-Apr-22,W 15,Atq -438,MILES FIELDS,Weekly Off
03-Apr-22,W 15,Atq -349,TRYSTAN ORTEGA,Weekly Off
03-Apr-22,W 15,Atq -459,iris woodard,Weekly Off
03-Apr-22,W 15,Atq -396,JOEL CRUZ,Weekly Off
03-Apr-22,W 15,Atq -393,janelle raymond,Weekly Off
03-Apr-22,W 15,Atq -419,faith hamilton,Weekly Off
03-Apr-22,W 15,Atq -446,APRIL AYERS,Weekly Off
03-Apr-22,W 15,Atq -334,boston morse,Weekly Off
03-Apr-22,W 15,Atq -343,myla klein,Weekly Off
03-Apr-22,W 15,Atq -335,MADELYNN GRAY,Weekly Off
03-Apr-22,W 15,Atq -440,MCKAYLA PARKER,Weekly Off
03-Apr-22,W 15,Atq -405,sofia solis,Weekly Off
03-Apr-22,W 15,Atq -450,miya hampton,Weekly Off
03-Apr-22,W 15,Atq -467,cason david,Weekly Off
03-Apr-22,W 15,Atq -419,kaylah schultz,Weekly Off
03-Apr-22,W 15,Atq -443,LYRIC BARTLETT,Weekly Off
03-Apr-22,W 15,Atq -335,TORI SHANNON,Weekly Off
03-Apr-22,W 15,Atq -397,GRACE STONE,Weekly Off
03-Apr-22,W 15,Atq -404,ana little,Weekly Off
03-Apr-22,W 15,Atq -436,PHOENIX BRADY,Weekly Off
03-Apr-22,W 15,Atq -441,loki lal,Weekly Off
03-Apr-22,W 15,Atq -366,peter pandey,Weekly Off
03-Apr-22,W 15,Atq -438,mekhi singleton,Weekly Off
03-Apr-22,W 15,Atq -398,bo cordova,Weekly Off
03-Apr-22,W 15,Atq -411,nevaeh waller,Weekly Off
03-Apr-22,W 15,Atq -462,JARVIS SINGH,Weekly Off
03-Apr-22,W 15,Atq -406,thanos thakur,Weekly Off
03-Apr-22,W 15,Atq -458,jessie carrillo,Weekly Off
03-Apr-22,W 15,Atq -400,CHAD MACIAS,Weekly Off
03-Apr-22,W 15,Atq -437,DALLAS WEEKS,Weekly Off
03-Apr-22,W 15,Atq -372,miley combs,Weekly Off
03-Apr-22,W 15,Atq -369,greta horton,Weekly Off
03-Apr-22,W 15,Atq -374,KALEY FITZPATRICK,Weekly Off
03-Apr-22,W 15,Atq -470,JOVANI POPE,Weekly Off
03-Apr-22,W 15,Atq -455,CAYLEE MEADOWS,Weekly Off
03-Apr-22,W 15,Atq -385,finnegan gilbert,Weekly Off
03-Apr-22,W 15,Atq -387,konner henson,Weekly Off
03-Apr-22,W 15,Atq -430,MAXIMUS MCKENZIE,Weekly Off
03-Apr-22,W 15,Atq -443,ANDREW CUMMINGS,Weekly Off
03-Apr-22,W 15,Atq -461,josh sharp,Weekly Off
03-Apr-22,W 15,Atq -453,NEHEMIAH DIAZ,Weekly Off
03-Apr-22,W 15,Atq -376,DOMINIQUE BENJAMIN,Weekly Off
03-Apr-22,W 15,Atq -418,hillary kirk,Weekly Off
03-Apr-22,W 15,Atq -373,isiah small,Weekly Off
03-Apr-22,W 15,Atq -382,GUSTAVO RITTER,Weekly Off
03-Apr-22,W 15,Atq -408,nick orozco,Weekly Off
03-Apr-22,W 15,Atq -418,marquis wyatt,Weekly Off
03-Apr-22,W 15,Atq -414,TITUS ANDERSEN,Weekly Off
03-Apr-22,W 15,Atq -403,WILL MAHONEY,Weekly Off
03-Apr-22,W 15,Atq -393,emma freeman,Weekly Off
03-Apr-22,W 15,Atq -367,BRILEY ORR,Weekly Off
03-Apr-22,W 15,Atq -452,ayanna atkins,Weekly Off
03-Apr-22,W 15,Atq -485,GREGORY CARR,Weekly Off
03-Apr-22,W 15,Atq -421,RYLEE MULLINS,Weekly Off
03-Apr-22,W 15,Atq -432,ryann guerrero,Weekly Off
03-Apr-22,W 15,Atq -484,demarcus gordon,Weekly Off
03-Apr-22,W 15,Atq -428,ciara allison,Weekly Off
03-Apr-22,W 15,Atq -467,ESPERANZA IRWIN,Weekly Off
03-Apr-22,W 15,Atq -396,KARMA REEVES,Weekly Off
03-Apr-22,W 15,Atq -458,JESSIE CARRILLO,Work From Office
03-Apr-22,W 15,Atq -400,chad macias,Work From Office
03-Apr-22,W 15,Atq -437,DALLAS WEEKS,Work From Office
03-Apr-22,W 15,Atq -372,miley combs,Work From Office
03-Apr-22,W 15,Atq -369,greta horton,Work From Office
04-Apr-22,W 15,Atq -374,kaley fitzpatrick,Work From Office
04-Apr-22,W 15,Atq -470,jovani pope,Work From Office
04-Apr-22,W 15,Atq -455,CAYLEE MEADOWS,Work From Office
04-Apr-22,W 15,Atq -385,finnegan gilbert,Work From Office
04-Apr-22,W 15,Atq -387,KONNER HENSON,Work From Office
04-Apr-22,W 15,Atq -443,andrew cummings,Work From Office
04-Apr-22,W 15,Atq -453,NEHEMIAH DIAZ,Work From Office
04-Apr-22,W 15,Atq -376,DOMINIQUE BENJAMIN,Work From Office
04-Apr-22,W 15,Atq -418,hillary kirk,Work From Office
04-Apr-22,W 15,Atq -373,ISIAH SMALL,Work From Office
04-Apr-22,W 15,Atq -408,nick orozco,Work From Office
04-Apr-22,W 15,Atq -418,marquis wyatt,Work From Office
04-Apr-22,W 15,Atq -414,TITUS ANDERSEN,Work From Office
04-Apr-22,W 15,Atq -403,WILL MAHONEY,Work From Office
04-Apr-22,W 15,Atq -367,briley orr,Work From Office
04-Apr-22,W 15,Atq -452,AYANNA ATKINS,Work From Office
04-Apr-22,W 15,Atq -421,rylee mullins,Work From Office
04-Apr-22,W 15,Atq -432,ryann guerrero,Work From Office
04-Apr-22,W 15,Atq -484,DEMARCUS GORDON,Work From Office
04-Apr-22,W 15,Atq -428,ciara allison,Work From Office
04-Apr-22,W 15,Atq -467,ESPERANZA IRWIN,Work From Office
04-Apr-22,W 15,Atq -396,karma reeves,Work From Office
04-Apr-22,W 15,Atq -472,CRISTOFER BERNARD,Work From Office
04-Apr-22,W 15,Atq -412,tucker austin,Work From Office
04-Apr-22,W 15,Atq -398,salvatore hendrix,Work From Office
04-Apr-22,W 15,Atq -484,ADYSON MOYER,Work From Office
04-Apr-22,W 15,Atq -456,ADRIEL PACE,Work From Office
04-Apr-22,W 15,Atq -375,kenley marsh,Work From Office
04-Apr-22,W 15,Atq -475,london kim,Work From Office
04-Apr-22,W 15,Atq -405,CHRIS FRYE,Work From Office
04-Apr-22,W 15,Atq -426,ROMAN COLON,Work From Office
04-Apr-22,W 15,Atq -435,DEAN MCLAUGHLIN,Work From Office
04-Apr-22,W 15,Atq -348,WESTON HORTON,Work From Office
04-Apr-22,W 15,Atq -468,xiomara ruiz,Work From Office
04-Apr-22,W 15,Atq -368,macie callahan,Work From Office
04-Apr-22,W 15,Atq -475,REY NOVAK,Work From Office
04-Apr-22,W 15,Atq -375,hailee fitzpatrick,Work From Office
04-Apr-22,W 15,Atq -433,jayce fuentes,Work From Office
04-Apr-22,W 15,Atq -370,ELLA ROTH,Work From Office
04-Apr-22,W 15,Atq -423,RODRIGO PRICE,Work From Office
04-Apr-22,W 15,Atq -438,MILES FIELDS,Work From Office
04-Apr-22,W 15,Atq -349,TRYSTAN ORTEGA,Work From Office
04-Apr-22,W 15,Atq -459,IRIS WOODARD,Work From Office
04-Apr-22,W 15,Atq -393,janelle raymond,Work From Office
04-Apr-22,W 15,Atq -419,FAITH HAMILTON,Work From Office
04-Apr-22,W 15,Atq -446,APRIL AYERS,Work From Office
04-Apr-22,W 15,Atq -334,boston morse,Work From Office
04-Apr-22,W 15,Atq -343,myla klein,Work From Office
04-Apr-22,W 15,Atq -335,MADELYNN GRAY,Work From Office
04-Apr-22,W 15,Atq -440,MCKAYLA PARKER,Work From Office
04-Apr-22,W 15,Atq -405,SOFIA SOLIS,Work From Office
04-Apr-22,W 15,Atq -450,miya hampton,Work From Office
04-Apr-22,W 15,Atq -419,KAYLAH SCHULTZ,Work From Office
04-Apr-22,W 15,Atq -443,lyric bartlett,Work From Office
04-Apr-22,W 15,Atq -335,TORI SHANNON,Work From Office
04-Apr-22,W 15,Atq -397,grace stone,Work From Office
04-Apr-22,W 15,Atq -404,ana little,Work From Office
04-Apr-22,W 15,Atq -436,PHOENIX BRADY,Work From Office
04-Apr-22,W 15,Atq -441,LOKI LAL,Work From Office
04-Apr-22,W 15,Atq -366,PETER PANDEY,Work From Office
04-Apr-22,W 15,Atq -438,mekhi singleton,Work From Office
04-Apr-22,W 15,Atq -398,BO CORDOVA,Work From Office
04-Apr-22,W 15,Atq -462,jarvis singh,Work From Office
04-Apr-22,W 15,Atq -406,THANOS THAKUR,Work From Office
04-Apr-22,W 15,Atq -396,joel cruz,Work From Home
04-Apr-22,W 15,Atq -411,nevaeh waller,Work From Home
04-Apr-22,W 15,Atq -430,maximus mckenzie,Work From Home
04-Apr-22,W 15,Atq -382,GUSTAVO RITTER,Work From Home
04-Apr-22,W 15,Atq -393,EMMA FREEMAN,Work From Home
04-Apr-22,W 15,Atq -485,GREGORY CARR,Work From Home
04-Apr-22,W 15,Atq -331,jonah hamilton,Work From Home
04-Apr-22,W 15,Atq -458,jessie carrillo,Work From Office
04-Apr-22,W 15,Atq -400,chad macias,Work From Office
04-Apr-22,W 15,Atq -437,dallas weeks,Work From Office
04-Apr-22,W 15,Atq -372,miley combs,Work From Office
04-Apr-22,W 15,Atq -369,greta horton,Work From Office
05-Apr-22,W 15,Atq -374,kaley fitzpatrick,Work From Office
05-Apr-22,W 15,Atq -470,JOVANI POPE,Work From Office
05-Apr-22,W 15,Atq -455,caylee meadows,Work From Office
05-Apr-22,W 15,Atq -385,FINNEGAN GILBERT,Work From Office
05-Apr-22,W 15,Atq -387,KONNER HENSON,Work From Office
05-Apr-22,W 15,Atq -443,andrew cummings,Work From Office
05-Apr-22,W 15,Atq -453,nehemiah diaz,Work From Office
05-Apr-22,W 15,Atq -376,DOMINIQUE BENJAMIN,Work From Office
05-Apr-22,W 15,Atq -418,hillary kirk,Work From Office
05-Apr-22,W 15,Atq -373,isiah small,Work From Office
05-Apr-22,W 15,Atq -408,nick orozco,Work From Office
05-Apr-22,W 15,Atq -418,marquis wyatt,Work From Office
05-Apr-22,W 15,Atq -414,TITUS ANDERSEN,Work From Office
05-Apr-22,W 15,Atq -403,will mahoney,Work From Office
05-Apr-22,W 15,Atq -367,briley orr,Work From Office
05-Apr-22,W 15,Atq -452,ayanna atkins,Work From Office
05-Apr-22,W 15,Atq -421,rylee mullins,Work From Office
05-Apr-22,W 15,Atq -432,ryann guerrero,Work From Office
05-Apr-22,W 15,Atq -484,DEMARCUS GORDON,Work From Office
05-Apr-22,W 15,Atq -428,CIARA ALLISON,Work From Office
05-Apr-22,W 15,Atq -467,esperanza irwin,Work From Office
05-Apr-22,W 15,Atq -396,KARMA REEVES,Work From Office
05-Apr-22,W 15,Atq -472,CRISTOFER BERNARD,Work From Office
05-Apr-22,W 15,Atq -412,TUCKER AUSTIN,Work From Office
05-Apr-22,W 15,Atq -398,SALVATORE HENDRIX,Work From Office
05-Apr-22,W 15,Atq -484,adyson moyer,Work From Office
05-Apr-22,W 15,Atq -385,JASE INGRAM,Work From Office
05-Apr-22,W 15,Atq -456,adriel pace,Work From Office
05-Apr-22,W 15,Atq -375,kenley marsh,Work From Office
05-Apr-22,W 15,Atq -475,london kim,Work From Office
05-Apr-22,W 15,Atq -426@,roman colon,Work From Office
05-Apr-22,W 15,Atq -435,dean mclaughlin,Work From Office
05-Apr-22,W 15,Atq -348@,WESTON HORTON,Work From Office
05-Apr-22,W 15,Atq -468,XIOMARA RUIZ,Work From Office
05-Apr-22,W 15,Atq -368,MACIE CALLAHAN,Work From Office
05-Apr-22,W 15,Atq -475,REY NOVAK,Work From Office
05-Apr-22,W 15,Atq -433,jayce fuentes,Work From Office
05-Apr-22,W 15,Atq -370,ella roth,Work From Office
05-Apr-22,W 15,Atq -423,rodrigo price,Work From Office
05-Apr-22,W 15,Atq -438,miles fields,Work From Office
05-Apr-22,W 15,Atq -349,trystan ortega,Work From Office
05-Apr-22,W 15,Atq -459,iris woodard,Work From Office
05-Apr-22,W 15,Atq -393,JANELLE RAYMOND,Work From Office
05-Apr-22,W 15,Atq -419,faith hamilton,Work From Office
05-Apr-22,W 15,Atq -446,april ayers,Work From Office
05-Apr-22,W 15,Atq -334,BOSTON MORSE,Work From Office
05-Apr-22,W 15,Atq -343,MYLA KLEIN,Work From Office
05-Apr-22,W 15,Atq -335,MADELYNN GRAY,Work From Office
05-Apr-22,W 15,Atq -440,MCKAYLA PARKER,Work From Office
05-Apr-22,W 15,Atq -405,SOFIA SOLIS,Work From Office
05-Apr-22,W 15,Atq -450,miya hampton,Work From Office
05-Apr-22,W 15,Atq -467,cason david,Work From Office
05-Apr-22,W 15,Atq -419,kaylah schultz,Work From Office
05-Apr-22,W 15,Atq -443,lyric bartlett,Work From Office
05-Apr-22,W 15,Atq -335,tori shannon,Work From Office
05-Apr-22,W 15,Atq -397,grace stone,Work From Office
05-Apr-22,W 15,Atq -436,PHOENIX BRADY,Work From Office
05-Apr-22,W 15,Atq -441,loki lal,Work From Office
05-Apr-22,W 15,Atq -366,PETER PANDEY,Work From Office
05-Apr-22,W 15,Atq -438,MEKHI SINGLETON,Work From Office
05-Apr-22,W 15,Atq -398,BO CORDOVA,Work From Office
05-Apr-22,W 15,Atq -411,NEVAEH WALLER,Work From Office
05-Apr-22,W 15,Atq -462,JARVIS SINGH,Work From Office
05-Apr-22,W 15,Atq -406,THANOS THAKUR,Work From Office
05-Apr-22,W 15,Atq -396,joel cruz,Work From Home
05-Apr-22,W 15,Atq -375,hailee fitzpatrick,Menstrual Leave
05-Apr-22,W 15,Atq -430,maximus mckenzie,Work From Home
05-Apr-22,W 15,Atq -382,GUSTAVO RITTER,Work From Home
05-Apr-22,W 15,Atq -393,EMMA FREEMAN,Work From Home
05-Apr-22,W 15,Atq -485,gregory carr,Work From Home
05-Apr-22,W 15,Atq -405,CHRIS FRYE,Work From Home
05-Apr-22,W 15,Atq -331,JONAH HAMILTON,Work From Home
05-Apr-22,W 15,Atq -458,JESSIE CARRILLO,Work From Office
05-Apr-22,W 15,Atq -437,dallas weeks,Work From Office
05-Apr-22,W 15,Atq -372,MILEY COMBS,Work From Office
05-Apr-22,W 15,Atq -369,GRETA HORTON,Work From Office
05-Apr-22,W 15,Atq -374,kaley fitzpatrick,Work From Office
05-Apr-22,W 15,Atq -470,JOVANI POPE,Work From Office
06-Apr-22,W 15,Atq -455,CAYLEE MEADOWS,Work From Office
06-Apr-22,W 15,Atq -385,FINNEGAN GILBERT,Work From Office
06-Apr-22,W 15,Atq -387,konner henson,Work From Office
06-Apr-22,W 15,Atq -443,andrew cummings,Work From Office
06-Apr-22,W 15,Atq -453,NEHEMIAH DIAZ,Work From Office
06-Apr-22,W 15,Atq -376,DOMINIQUE BENJAMIN,Work From Office
06-Apr-22,W 15,Atq -418,HILLARY KIRK,Work From Office
06-Apr-22,W 15,Atq -373,ISIAH SMALL,Work From Office
06-Apr-22,W 15,Atq -408,nick orozco,Work From Office
06-Apr-22,W 15,Atq -418,marquis wyatt,Work From Office
06-Apr-22,W 15,Atq -414,TITUS ANDERSEN,Work From Office
06-Apr-22,W 15,Atq -403,will mahoney,Work From Office
06-Apr-22,W 15,Atq -393,EMMA FREEMAN,Work From Office
06-Apr-22,W 15,Atq -367,briley orr,Work From Office
06-Apr-22,W 15,Atq -452,AYANNA ATKINS,Work From Office
06-Apr-22,W 15,Atq -421,RYLEE MULLINS,Work From Office
06-Apr-22,W 15,Atq -432,RYANN GUERRERO,Work From Office
06-Apr-22,W 15,Atq -484,DEMARCUS GORDON,Work From Office
06-Apr-22,W 15,Atq -428,ciara allison,Work From Office
06-Apr-22,W 15,Atq -467@,ESPERANZA IRWIN,Work From Office
06-Apr-22,W 15,Atq -396,karma reeves,Work From Office
06-Apr-22,W 15,Atq -472,CRISTOFER BERNARD,Work From Office
06-Apr-22,W 15,Atq -412,TUCKER AUSTIN,Work From Office
06-Apr-22,W 15,Atq -398,SALVATORE HENDRIX,Work From Office
06-Apr-22,W 15,Atq -484,adyson moyer,Work From Office
06-Apr-22,W 15,Atq -385,JASE INGRAM,Work From Office
06-Apr-22,W 15,Atq -456,adriel pace,Work From Office
06-Apr-22,W 15,Atq -375,kenley marsh,Work From Office
06-Apr-22,W 15,Atq -475,london kim,Work From Office
06-Apr-22,W 15,Atq -405,chris frye,Work From Office
06-Apr-22,W 15,Atq -426,roman colon,Work From Office
